Name,Url,Authority,Started On,Finished On,License Number,,,,Skills
The Data science course 2020: Complete Data science Bootcamp,https://udemy-certificate.s3.amazonaws.com/pdf/UC-0cac8195-a6a7-4f58-8bca-18bbcfa6c652.pdf,Udemy,,,UC-0cac8195-a6a7-4f58-8bca-18bbcfa6c652,,,,Amazon S3
2020 Complete Python Bootcamp From Zero to Hero In Python,https://udemy-certificate.s3.amazonaws.com/pdf/UC-c5f1c35d-5e37-4c55-852d-874758d2c5ec.pdf,Udemy,,,UC-c5f1c35d-5e37-4c55-852d-874758d2c5ec,,,,MLOps using github action
SQL-MySQL for Data Analytics and Business Intelligence ,ude.my/UC-6161a590-eab4-4b12-86a7-7659b8c974f1,Udemy,Mar-22,,UC-6161a590-eab4-4b12-86a7-7659b8c974f1,,,,Git
Deep Learning Foundations,https://learn.ineuron.ai/certificate/0342550f-3980-4eda-b77c-86ac7ef7e02a,iNeuron.ai,Sep-22,,0342550f-3980-4eda-b77c-86ac7ef7e02a,,,,Heroku
NLP Foundations,https://learn.ineuron.ai/certificate/682d207c-936e-4813-877e-645d282be66a,iNeuron.ai,Sep-22,,682d207c-936e-4813-877e-645d282be66a,,,,Snowflake Cloud
Machine Learning A-Z: Hands on  Python and R In Data Science ,https://www.udemy.com/certificate/UC-2f19ef37-a333-4d1d-a5d3-a50812a65630/,Udemy,Sep-22,,UC-2f19ef37-a333-4d1d-a5d3-a50812a65630,,,,Natural Language Processing (NLP)
Deep Learning A-Z: Hands on Artificial Neural Networks,https://www.udemy.com/certificate/UC-d8c8fd94-0ec9-4e19-b751-5b72a4f3c370/,Udemy,Sep-22,,UC-d8c8fd94-0ec9-4e19-b751-5b72a4f3c370,,,,IBM SPSS
,,,,,,,,,Data Science
,,,,,,,,,Machine Learning
,,,,,,,,,Python (Programming Language)
,,,,,,,,,Deep Learning
,,,,,,,,,R program
,,,,,,,,,Tableau
,,,,,,,,,Econometrics
,,,,,,,,,SQL
,,,,,,,,,Databases
,,,,,,,,,MySQL
,,,,,,,,,MongoDB
